"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table7"	"20"	"jansen1990"	"Brain"	"Cortical region"	"GABA A receptor"	9	135	30	8	81	22.62	NA	-1.91146540856857	0.373837480052315	-3.10983149839798	-0.713099318739165	9	8	3.54402808270017
"table7"	"213"	"cross1986"	"Brain"	"Cortical region"	"GABA A receptor"	13	258	46.87	13	244	72.11	NA	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	17.6182520086191
"table7"	"166"	"carlson1993"	"Brain"	"Cortical region"	"GABA A receptor"	8	0.1825	0.004242640687119	8	0.23	0.048083261120685	NA	-0.409236813556977	0.0130460865490709	-0.633102854415047	-0.185370772698906	152	152	17.6049680525865
"table7"	"53"	"shimohama1988"	"Brain"	"Cortical region"	"GABA A receptor"	7	1300	285.74	7	903	82.01	NA	-1.5258073682944	0.093350086101992	-2.12463999237984	-0.926974744208963	13	14	9.34904681722908
"table7"	"210"	"cross1984"	"Brain"	"Cortical region"	"GABA A receptor"	13	196	43.26	14	172	67.34	NA	-0.423238133239303	0.00606448455147293	-0.5758699375044	-0.270606328974206	34	33	19.0689762026657
"table7"	"S11"	"owen1983"	"Brain"	"Cortical region"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	NA	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	5.66367881024367
"table8"	"96"	"kwakowsky2018"	"Brain"	"Subcortical region"	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	NA	0.170922882764398	0.0151061652160761	-0.0699706862991161	0.411816451827913	624	624	18.2752641717014
"table8"	"20"	"jansen1990"	"Brain"	"Subcortical region"	"GABA A receptor"	9	276	78	8	300	107.48	NA	0.288710041932604	0.00939601763011285	0.0987247403837877	0.478695343481419	27	24	18.9769937466108
"table8"	"79"	"howell2000"	"Brain"	"Subcortical region"	"GABA A receptor"	5	162	42.485291572496	5	148	53.665631459995	NA	-0.309328395363902	0.0247842028089203	-0.617885512433333	-0.000771278294469935	25	25	17.1974441536874
"table8"	"53"	"shimohama1988"	"Brain"	"Subcortical region"	"GABA A receptor"	7	1235	275.15	7	793	50.26	NA	-0.446199481083415	0.0173145808083355	-0.704101108012757	-0.188297854154073	35	28	18.0175890354178
"table8"	"210"	"cross1984"	"Brain"	"Subcortical region"	"GABA A receptor"	17	154	53.6	13	135	39.66	NA	-0.384136691913905	0.138556521123507	-1.11369763538236	0.345424251554553	17	13	10.1560685770248
"table8"	"10"	"griffiths1994"	"Brain"	"Subcortical region"	"GABA A receptor"	9	80	8	5	76	4	NA	-0.579191876842036	0.023091940761104	-0.877028643416764	-0.281355110267308	36	20	17.3766403155577
